,Date,Open,High,Low,Close,Volume,target,s_moving_average,varSMA,l_moving_average,varLMA,autocorrelation,varACR,CRTDR,varSTR,delta,rsi,varRSIbinary,varRSItertiary
3818,2000-03-15,136.88,140.44,136.06,139.75,9800800.0,1,138.81833333333333,1,140.5170588235294,-1,0.44351759741349284,-1,0.8424657534246579,1,2.8700000000000045,96.299840510366835,1,1
3817,2000-03-16,141.62,146.84,140.88,146.5,22876400.0,1,140.42166666666665,1,140.5378431372549,1,0.61638444894358591,1,0.9429530201342277,1,4.8799999999999955,96.318629006664551,1,1
3816,2000-03-17,145.81,148.0,145.44,146.94,10272900.0,1,141.43166666666664,1,140.67882352941174,1,0.76971239853419959,1,0.5859374999999994,1,1.1299999999999955,95.864080005641213,1,1
3815,2000-03-20,146.88,147.34,144.78,146.19,12502200.0,1,142.4316666666667,1,140.80019607843136,1,0.8945892675641095,1,0.5507812499999982,1,-0.6899999999999977,96.245536225546857,1,1
3814,2000-03-21,145.53,149.75,144.5,149.19,13599600.0,1,144.19833333333335,1,140.98901960784312,1,0.26323581843783977,-1,0.8933333333333329,1,3.6599999999999966,96.658576320776675,1,1
3813,2000-03-22,149.56,150.84,148.69,150.09,8259900.0,1,146.44333333333333,1,141.07411764705881,1,-0.37583266620372485,-1,0.6511627906976754,1,0.5300000000000011,95.948363270655932,1,1
3812,2000-03-23,0.0,153.47,149.16,152.5,11653900.0,1,148.56833333333333,1,141.19411764705879,1,0.67637063313781731,1,0.7749419953596292,1,152.5,96.758364606485912,1,1
3811,2000-03-24,152.88,155.75,151.72,153.56,11462900.0,1,149.745,1,141.3754901960784,1,0.84571202441145243,1,0.4565756823821347,-1,0.6800000000000068,96.419575717621356,1,1
3810,2000-03-27,153.38,153.78,151.81,151.94,8798600.0,1,150.57833333333335,1,141.54960784313721,1,0.96120191831252633,1,0.06598984771573377,-1,-1.4399999999999977,96.590056963940384,1,1
3809,2000-03-28,151.25,152.98,150.59,151.06,6334300.0,1,151.38999999999999,-1,141.67019607843133,1,0.55301879342604288,1,0.19665271966527262,1,-0.18999999999999773,97.244730422297408,1,1
3808,2000-03-29,151.56,152.48,149.66,151.22,6747500.0,1,151.72833333333335,-1,141.75352941176467,1,-0.69923949210757064,-1,0.5531914893617043,-1,-0.3400000000000034,97.690506456145044,1,1
3807,2000-03-30,150.16,151.92,147.12,148.69,9491900.0,1,151.495,-1,141.80999999999997,1,-0.88247566020285806,-1,0.32708333333333306,1,-1.4699999999999989,97.300853119539525,1,1
3806,2000-03-31,149.62,152.31,148.44,150.38,9249100.0,1,151.14166666666668,-1,141.89098039215685,1,-0.77459267340782645,-1,0.5012919896640815,1,0.7599999999999909,96.510150597766284,1,1
3805,2000-04-03,150.12,151.25,148.69,151.25,8508200.0,1,150.75666666666669,1,142.018431372549,1,-0.52171217720352725,-1,1.0,-1,1.1299999999999955,95.031070004011482,1,1
3804,2000-04-04,151.75,153.0,141.39,145.34,20456500.0,-1,149.65666666666667,-1,142.03607843137254,1,0.10463527331198168,-1,0.3402239448751087,1,-6.409999999999997,88.77405317195894,1,1
3803,2000-04-05,147.88,150.81,147.62,149.19,8227900.0,-1,149.345,-1,142.20960784313723,1,0.55902643370168781,1,0.49216300940438695,-1,1.3100000000000023,89.102824629140429,1,1
3802,2000-04-06,150.25,151.69,149.0,150.48,6378500.0,-1,149.22166666666666,1,142.39235294117643,1,0.094913667593290063,-1,0.5501858736059446,-1,0.22999999999998977,89.092850605105269,1,1
3801,2000-04-07,151.56,152.12,150.5,151.44,6023600.0,-1,149.68000000000004,1,142.60078431372546,1,-0.16749829091217694,-1,0.5802469135802438,1,-0.12000000000000455,90.62004858983839,1,1
3800,2000-04-10,151.75,153.11,150.31,150.84,9624200.0,1,149.75666666666669,1,142.80725490196076,1,-0.33548911259996494,-1,0.18928571428571392,-1,-0.9099999999999966,90.043032571808425,1,1
3799,2000-04-11,150.0,151.62,148.38,150.41,9006400.0,1,149.61666666666667,1,143.09215686274507,1,-0.055871371868706152,-1,0.6265432098765418,1,0.4099999999999966,89.964562139671017,1,1
3798,2000-04-12,150.38,151.16,146.16,146.28,10779700.0,-1,149.77333333333331,-1,143.22392156862742,1,0.080716535339673906,-1,0.02400000000000091,1,-4.099999999999994,89.060127410768843,1,1
3797,2000-04-13,147.47,148.16,141.12,144.25,12226800.0,-1,148.94999999999999,-1,143.28882352941173,1,-0.15418080823101138,-1,0.4446022727272726,1,-3.219999999999999,88.947281634476781,1,1
3796,2000-04-14,142.62,142.81,133.5,135.56,26930800.0,-1,146.46333333333334,-1,143.18098039215684,-1,-0.51173785148785844,-1,0.22126745435016132,1,-7.060000000000002,87.312002503373691,1,1
3795,2000-04-17,135.19,140.44,134.69,140.25,23917900.0,-1,144.59833333333333,-1,143.12333333333331,-1,-0.8743645983673668,-1,0.9669565217391308,-1,5.060000000000002,87.574635977533802,1,1
3794,2000-04-18,140.56,144.47,139.78,144.47,10955700.0,-1,143.53666666666666,1,143.16019607843137,1,-0.88176480405530855,-1,1.0,1,3.9099999999999966,85.964256488487933,1,1
3793,2000-04-19,144.5,145.12,142.53,143.12,6553700.0,-1,142.32166666666666,1,143.17470588235292,-1,-0.42491536161933496,-1,0.22779922779922882,-1,-1.3799999999999955,87.302918803500276,1,1
3792,2000-04-20,143.56,143.94,142.38,143.81,8610900.0,-1,141.91,1,143.16490196078431,1,-0.60164644944327406,-1,0.9166666666666697,-1,0.25,87.284252329311144,1,1
3791,2000-04-24,141.5,143.31,140.5,142.25,12893100.0,-1,141.57666666666668,1,143.18392156862745,-1,-0.023822490842330075,-1,0.6227758007117433,-1,0.75,37.433946311562011,-1,-1
3790,2000-04-25,144.62,148.16,144.44,148.16,14102000.0,1,143.67666666666668,1,143.31333333333333,1,0.025180921184622874,-1,1.0,1,3.539999999999992,41.738655002733701,-1,0
3789,2000-04-26,147.97,148.75,146.0,146.47,7710600.0,1,144.71333333333334,1,143.45588235294119,1,0.12440820826112253,-1,0.17090909090909048,1,-1.5,41.683957628044084,-1,0
3788,2000-04-27,143.0,147.34,143.0,145.75,15594300.0,1,144.92666666666668,1,143.57843137254903,1,0.42503153408583977,-1,0.6336405529953912,-1,2.75,40.803069365217894,-1,0
3787,2000-04-28,147.0,147.86,145.06,145.09,8743400.0,1,145.25500000000002,-1,143.65686274509807,1,0.57742524340169887,1,0.010714285714286077,-1,-1.9099999999999966,39.421040244763446,-1,-1
3786,2000-05-01,146.56,148.48,145.84,147.06,7328300.0,1,145.79666666666665,1,143.81117647058826,1,-0.80598575069513079,-1,0.4621212121212141,-1,0.5,36.733238231098404,-1,-1
3785,2000-05-02,145.5,147.12,144.12,144.16,9411200.0,1,146.11499999999998,-1,143.9264705882353,1,-0.80614850641900482,-1,0.01333333333333068,-1,-1.3400000000000034,39.22111297815556,-1,-1
3784,2000-05-03,144.0,144.0,139.78,141.62,12339300.0,1,145.02500000000001,-1,144.05509803921569,-1,-0.75170730580339884,-1,0.4360189573459725,-1,-2.3799999999999955,40.425448331401846,-1,0
3783,2000-05-04,142.0,142.36,140.75,141.81,5963600.0,-1,144.24833333333333,-1,144.18921568627451,-1,-0.67489006490734837,-1,0.6583850931676977,1,-0.18999999999999773,46.051777762860517,-1,0
3782,2000-05-05,141.06,144.0,140.94,143.53,7862400.0,-1,143.87833333333333,-1,144.32588235294119,-1,-0.63359720225477456,-1,0.8464052287581704,-1,2.469999999999999,47.549328866360632,-1,0
3781,2000-05-08,142.75,143.38,141.84,142.45,5064000.0,-1,143.43833333333336,-1,144.46450980392157,-1,0.34754483835254257,-1,0.3961038961038886,-1,-0.30000000000001137,51.755715132749174,1,0
3780,2000-05-09,143.06,143.41,140.27,141.31,5622300.0,-1,142.47999999999999,-1,144.62098039215689,-1,0.10849875842373925,-1,0.3312101910828015,-1,-1.75,50.140413581822806,1,0
3779,2000-05-10,140.5,140.97,137.75,138.12,10293700.0,-1,141.47333333333333,-1,144.6601960784314,-1,0.83729007708476466,1,0.1149068322981381,1,-2.3799999999999955,48.767769569805687,-1,0
3778,2000-05-11,140.12,141.5,139.12,141.38,7090500.0,-1,141.43333333333334,-1,144.7374509803922,-1,0.71952134841183135,1,0.9495798319327711,1,1.259999999999991,49.826737187670972,-1,0
3777,2000-05-12,141.81,143.47,141.62,142.81,5960800.0,-1,141.60000000000002,1,144.82313725490201,-1,0.61653105066754077,1,0.643243243243244,-1,1.0,50.243363302089293,1,0
3776,2000-05-15,142.75,145.61,142.0,145.28,4441300.0,1,141.89166666666665,1,144.95549019607847,1,0.31461130164313422,-1,0.9085872576177254,1,2.530000000000001,51.958727205866438,1,0
3775,2000-05-16,146.56,147.72,145.31,146.69,8191200.0,1,142.59833333333333,1,145.06470588235297,1,0.038473724163511178,-1,0.5726141078838164,-1,0.12999999999999545,57.973913739297409,1,0
3774,2000-05-17,145.69,146.19,144.47,145.16,5906900.0,1,143.23999999999998,1,145.16960784313727,-1,-0.36735061223274312,-1,0.40116279069767335,-1,-0.5300000000000011,55.956149607222393,1,0
3773,2000-05-18,145.62,146.31,143.81,143.81,4325300.0,1,144.18833333333336,-1,145.30921568627454,-1,-0.42115965970761671,-1,0.0,-1,-1.8100000000000023,51.908729171847774,1,0
3772,2000-05-19,142.56,143.23,140.41,141.12,6518400.0,1,144.14500000000001,-1,145.39235294117648,-1,-0.40970779732288204,-1,0.2517730496453935,-1,-1.4399999999999977,51.812088866823835,1,0
3771,2000-05-22,141.25,141.47,137.0,137.45,10711800.0,-1,143.25166666666667,-1,145.3250980392157,-1,-0.82553395667418983,-1,0.1006711409395948,-1,-3.8000000000000114,50.734856851584354,1,0
3770,2000-05-23,140.44,140.81,137.56,138.0,7979200.0,-1,142.03833333333333,-1,145.28215686274513,-1,-0.95639805039584203,-1,0.1353846153846147,1,-2.4399999999999977,51.419804741980414,1,0
3769,2000-05-24,138.0,140.69,127.62,140.03,11084400.0,-1,140.92833333333331,-1,145.31039215686278,-1,-0.9178800723922711,-1,0.949502677888294,-1,2.030000000000001,48.605659987605826,-1,0
3768,2000-05-25,140.69,141.81,137.72,138.23,8078700.0,-1,139.77333333333334,-1,145.34196078431373,-1,-0.6229024907185966,-1,0.12469437652811503,-1,-2.460000000000008,47.528495166642578,-1,0
3767,2000-05-26,138.81,139.69,137.33,138.0,4814000.0,-1,138.80500000000001,-1,145.30764705882353,-1,0.10874733137906101,-1,0.28389830508474223,1,-0.8100000000000023,45.735361917934476,-1,0
3766,2000-05-30,140.0,142.94,139.47,142.47,5362500.0,-1,139.03,1,145.22862745098038,-1,-0.67781954711233272,-1,0.8645533141210378,1,2.469999999999999,48.208673790069085,-1,0
3765,2000-05-31,142.56,144.0,142.09,142.47,6056400.0,-1,139.86666666666667,1,145.14098039215685,-1,-0.71695880714599014,-1,0.1989528795811498,1,-0.09000000000000341,52.263736263736199,1,0
3764,2000-06-01,143.69,145.44,143.0,145.31,8961600.0,1,141.08500000000001,1,145.12372549019608,1,-0.64267579160245092,-1,0.9467213114754116,-1,1.6200000000000045,51.858741547819371,1,0
3763,2000-06-02,148.94,149.09,147.48,147.84,8961900.0,1,142.38666666666668,1,145.09725490196078,1,-0.4647209224872188,-1,0.22360248447205627,-1,-1.0999999999999943,53.475626465304586,1,0
